epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.96259,1.02256,3.02187,1.37321,0.00545,0.94737,0.27569,0.24788,0.39921,2.67981,0.87342,0.00012,0.00012,0.00012
2,9.53837,1.04661,2.74613,1.31594,0.00526,0.94737,0.59255,0.55774,0.45289,2.58675,0.87313,0.00025142,0.00025142,0.00025142
3,13.2292,0.93411,2.03441,1.17193,0.90033,0.57895,0.66686,0.59552,0.59176,2.04244,0.88989,0.0003736,0.0003736,0.0003736
4,16.8655,0.95071,1.49879,1.18084,0.93728,0.78674,0.82003,0.71797,0.62348,1.03011,0.87293,0.00048654,0.00048654,0.00048654
5,20.5136,1.05723,1.32942,1.26869,0.92688,0.84211,0.82566,0.64953,0.75841,1.28703,0.90395,0.00059024,0.00059024,0.00059024
6,24.1286,0.90837,1.08607,1.11776,1,0.83636,0.84846,0.74352,0.73209,1.30145,0.91821,0.0006847,0.0006847,0.0006847
7,27.7071,0.87402,1.11953,1.11194,0.98591,0.84211,0.84916,0.72862,0.75952,1.09886,0.92669,0.00076992,0.00076992,0.00076992
8,31.245,0.91675,1.14292,1.12781,0.93843,0.84211,0.84822,0.73089,0.61458,0.78723,0.89516,0.0008459,0.0008459,0.0008459
9,34.7782,0.90796,1.20438,1.11303,0.931,0.78947,0.83678,0.67214,0.63355,0.98958,0.90225,0.00091264,0.00091264,0.00091264
10,38.2855,0.84937,1.02913,1.07809,0.83597,0.84211,0.83131,0.68855,0.63501,1.1306,0.89916,0.00097014,0.00097014,0.00097014
11,41.8017,0.92233,1.12759,1.15022,0.99237,0.84211,0.89257,0.73008,0.66922,0.95796,0.9139,0.0010184,0.0010184,0.0010184
12,45.4295,0.87858,1.05363,1.09624,0.98461,0.84211,0.90373,0.78223,0.57739,0.82597,0.89596,0.00105742,0.00105742,0.00105742
13,49.0292,0.87276,1.12474,1.13028,0.9929,0.84211,0.92189,0.75353,0.61815,0.75316,0.90345,0.0010872,0.0010872,0.0010872
14,52.5225,0.8648,1.04726,1.1045,0.9929,0.84211,0.92189,0.75353,0.61815,0.75316,0.90345,0.00110774,0.00110774,0.00110774
15,56.0672,0.91088,1.02737,1.13496,0.99382,0.84211,0.92489,0.7721,0.60187,0.74481,0.90232,0.001076,0.001076,0.001076
16,59.5772,0.85605,0.97684,1.11938,0.9954,0.84211,0.90908,0.79038,0.5855,0.72019,0.90096,0.00101,0.00101,0.00101
17,63.1769,0.8406,1.05326,1.09309,0.99514,0.84211,0.88506,0.76451,0.62079,0.73626,0.9147,0.000944,0.000944,0.000944
18,66.7335,0.83011,0.92872,1.05663,0.99421,0.84211,0.88384,0.78711,0.57781,0.71524,0.90113,0.000878,0.000878,0.000878
19,70.2598,0.83517,0.95756,1.08225,0.99545,0.84211,0.89207,0.80072,0.5559,0.6492,0.89143,0.000812,0.000812,0.000812
20,73.8213,0.84301,1.0312,1.12894,0.99567,0.84211,0.92831,0.82137,0.56763,0.62593,0.89,0.000746,0.000746,0.000746
21,78.8623,0.4676,1.4303,0.84838,0.99554,0.84211,0.9182,0.81321,0.54793,0.63548,0.88804,0.00068,0.00068,0.00068
22,82.3951,0.43681,1.17302,0.84021,0.99554,0.84211,0.9182,0.81321,0.54793,0.63548,0.88804,0.000614,0.000614,0.000614
23,85.9056,0.44256,0.99369,0.83828,0.99044,0.84211,0.9013,0.82168,0.49416,0.65911,0.88474,0.000548,0.000548,0.000548
24,89.4661,0.4335,1.0203,0.85914,1,0.83702,0.90498,0.84825,0.44996,0.68696,0.88327,0.000482,0.000482,0.000482
25,93.0343,0.45502,0.95406,0.85715,1,0.83612,0.91939,0.85035,0.43339,0.6799,0.87993,0.000416,0.000416,0.000416
26,96.6536,0.41853,0.92169,0.84543,0.94406,0.88856,0.9428,0.85511,0.41411,0.67562,0.87656,0.00035,0.00035,0.00035
27,100.283,0.39024,0.8946,0.8357,1,0.88997,0.96396,0.88378,0.41119,0.65121,0.8735,0.000284,0.000284,0.000284
28,103.891,0.39089,0.81194,0.84274,1,0.94465,0.97776,0.89946,0.41446,0.60683,0.87295,0.000218,0.000218,0.000218
29,107.481,0.37096,0.78542,0.82948,0.99769,0.94737,0.98458,0.89674,0.41041,0.58942,0.87403,0.000152,0.000152,0.000152
30,110.982,0.39385,0.8009,0.8312,0.99769,0.94737,0.98458,0.89674,0.41041,0.58942,0.87403,8.6e-05,8.6e-05,8.6e-05
